step,Hmax_scale,sigma1,sigma2,sigma3,sigma4,condition,tangent_lambda,constraint_residual_inf,wmin,wmax
33,0.8621734984632881,0.8973345473741442,0.48006465503064366,0.19737934445209948,0.021917857350874554,40.940796949677164,-0.02403717455716533,3.005821147990971e-10,0.0017478866959486827,0.5357196192097414
34,0.8621379973954284,0.8973443962172645,0.4800120011999393,0.19735852475163237,0.021782983207594916,41.194743055413724,-0.02389082352860246,1.0460193101384326e-08,0.0017479253882710767,0.5357333860386597
35,0.8621097525987677,0.8973222269604167,0.47995018965383063,0.19736871813582674,0.021674731259419478,41.39946263787955,-0.023773434135540103,1.8596951773614586e-09,0.001747956235346067,0.5357444342022616
36,0.8620872563089143,0.8973934458024859,0.4799200889319335,0.197356196061274,0.021589260563663608,41.56665964340012,-0.023680659908345073,5.436302517779528e-10,0.0017479808514812626,0.5357532830324726
37,0.8620630593609016,0.8972670351809877,0.47988287187433176,0.1973580025709898,0.021496518552467613,41.740109357288894,-0.02358004634732402,3.35166084337499e-09,0.001748007375911599,0.5357628517642036
38,0.8620437756967891,0.8974523114693969,0.4798234785224748,0.1973593919998796,0.021423042862038146,41.891915973322895,-0.023500305211846408,1.5448310194930465e-08,0.0017480285436727073,0.5357705162732784
39,0.8620283959100873,0.8972815180605428,0.47982740392870177,0.19733604148495273,0.021363930932661288,41.99983237582809,-0.02343616749397379,6.81389611633219e-10,0.001748045443966491,0.5357766536998757
40,0.8620118327160519,0.8971811975511919,0.4798113009027686,0.19733914410498032,0.021300705910215843,42.119787078084705,-0.023367525718984136,1.0573394326364456e-08,0.0017480636606602659,0.5357832904297544
41,0.8619986172601858,0.8972546782286507,0.479774013593357,0.19732317328925988,0.021249804972014653,42.224137087860704,-0.02331230911633035,3.0921984924756583e-09,0.001748078209905488,0.5357886054800014
42,0.8619880672691695,0.8973449705105692,0.47976847204848827,0.19733434190705956,0.021209572746458925,42.3084887770965,-0.023268619204128833,7.074508759090649e-10,0.0017480898293386054,0.5357928678730547
43,0.861976695617872,0.8972947712246115,0.4797449312030483,0.19732609277080743,0.02116555781545474,42.3940998412724,-0.023220891104051344,2.2333230845175964e-09,0.001748102363547533,0.5357974682011012
44,0.8619676149629236,0.8972280779606915,0.4797298347401575,0.1973229917303437,0.021130728329173804,42.46082122602219,-0.023183083177022366,2.033444524081295e-10,0.001748112378104936,0.5358011492375694
45,0.8619578244709623,0.8972635260285057,0.47970255125075606,0.19733464811298942,0.021093514075068223,42.53741329374032,-0.023142668632354705,4.111753159328877e-10,0.0017481231819060942,0.5358051304899142
46,0.8619472701464571,0.8972123456064764,0.4797089709613921,0.19731125181810427,0.02105294358322365,42.616954824380635,-0.023098620983413042,5.42307310316625e-10,0.001748134842749858,0.5358094345713257
47,0.8619358939860207,0.897339524147132,0.4796775669415636,0.19732073843802847,0.02100908545988621,42.71197458168616,-0.023051030545448388,1.1026981544008806e-09,0.0017481474121526154,0.5358140806565391
48,0.8619268099143816,0.8972864128233004,0.4796597720016014,0.19733031976917723,0.020973791079213867,42.78131738007816,-0.023012747056208493,7.505348567678915e-10,0.0017481574561174452,0.535817800088845
49,0.8619195534381833,0.89733781305069,0.4796040931272873,0.19732771336770327,0.02094588964805239,42.84075912402829,-0.022982483694168027,1.0798159424965184e-08,0.0017481654840884515,0.5358207800644712
50,0.8619137551320332,0.8971679236638876,0.4796351497153165,0.19731961744689258,0.020923656436222043,42.87816168261839,-0.022958318737417546,4.1811254467419965e-10,0.0017481719023696495,0.5358231625339109
51,0.8619074998033095,0.8972873094277345,0.4796351955245746,0.19731759275965363,0.02089949166532949,42.93345138706216,-0.02293210178696008,5.793299823070168e-09,0.0017481788250739748,0.5358257389760364
52,0.8619025006818376,0.8970015496746445,0.47963929977970865,0.1973163015574326,0.020880289736098876,42.959248219811045,-0.022911241310418256,1.1651768438301707e-10,0.0017481843595408045,0.5358277999271643
53,0.8618971067305128,0.8973663536669833,0.47957213011893096,0.19732279833128363,0.020859763639385128,43.019008708836665,-0.022888970765106955,2.9840840864877077e-09,0.0017481903305419993,0.5358300280717585
54,0.8618927954110983,0.8970868162053393,0.47962996801313323,0.1972985763104945,0.020842803699934086,43.040601884485255,-0.022870559028112712,9.574691438267033e-09,0.0017481951085584007,0.5358318114525018
55,0.8618893488398031,0.897197101275433,0.4795918779136179,0.19731519424689312,0.02082972053615753,43.07293032174974,-0.022856357566197853,1.3627544852164263e-08,0.0017481989294576721,0.535833236894503
56,0.8618865930969395,0.8968913724530433,0.47961909377696155,0.19730529088961496,0.020819429776700534,43.079535898565936,-0.022845140578281724,5.392475353683155e-10,0.001748201982000605,0.5358343767803926
57,0.8618836184498496,0.8971738262630601,0.4795839361942275,0.19732543565082575,0.020807406037690823,43.11800445658181,-0.022832145045242207,7.96878562818753e-10,0.001748205275305531,0.5358356118108979
58,0.8618812399373634,0.8971110601937087,0.4796270378801108,0.19729804576950516,0.020799012811688014,43.13238653757532,-0.02282295878010508,3.605699732284016e-09,0.0017482079137821208,0.5358365970779304
59,0.8618793378550877,0.8970287555000315,0.47960283077414434,0.19729837443554074,0.020791603081605787,43.14379954153837,-0.02281493191115887,7.665398319030281e-10,0.0017482100209999375,0.535837387457566
60,0.861877284348652,0.8971597750827699,0.4795812480532525,0.19730468656736422,0.0207835552473002,43.16680974008582,-0.022806208617592007,4.687654707747206e-10,0.0017482122960876415,0.535838239915195
61,0.8618750673898872,0.8972191316244521,0.47958089649516855,0.19730718453244306,0.02077489735373925,43.187656542763264,-0.02279682133422483,1.9617595133557486e-08,0.0017482147494464312,0.535839161365846
62,0.8618732945520684,0.8971873250414817,0.47957263156857155,0.1973076672151758,0.02076761942653704,43.20125993329058,-0.02278895732290607,2.453659498104096e-10,0.0017482167191422101,0.5358398983593079
63,0.8618718766882172,0.896998256799064,0.4796141085643618,0.197285434240913,0.020762959123817322,43.201850538255485,-0.022783813404022503,6.550719968614984e-10,0.0017482182939141046,0.535840487939124
64,0.861870742642807,0.8972866911587922,0.47953343019934636,0.19731915536005212,0.020757967226867957,43.22613487882351,-0.02277847809968462,1.7342820108297352e-08,0.0017482195504494205,0.5358409601625225
