target_component,direction,step,scale,sigma1,sigma2,sigma3,sigma4,condition,wmin,wmax,target_error_pct
Hmin,-1,1,0.9753099120283326,0.9893380393749582,0.4835271943235299,0.20343584480462792,0.08650482164634117,11.436796476151148,0.0017756275136085983,0.517665711142488,2.612004279534119e-07
Hmin,-1,2,0.951229424500714,1.0159540436920347,0.4918503754838763,0.20385252926423533,0.08919480704692259,11.390282431549778,0.0017483063599047703,0.5136330934449784,1.8502239740314508e-07
Hmin,-1,3,0.9277434863285529,1.0443213464142342,0.500330276213267,0.20444969691832693,0.0951830288810956,10.971717948992984,0.0017145792030759058,0.5095389904879993,3.729451858447419e-07
Hmin,-1,4,0.9048374180359595,1.0725102148335663,0.5085775158922556,0.2057465543329393,0.10490373318993237,10.223756411907134,0.001676532527029856,0.5055041687469601,1.5245782414297082e-07
Hmin,-1,5,0.8824969025845953,1.0989741786701943,0.5163522027535213,0.20818858848227006,0.11733669995155996,9.365988468432155,0.0016382757130644925,0.5016018639455473,2.6922608586943397e-07
Hmin,-1,6,0.8607079764250578,1.122349555785562,0.5238022414433862,0.21236021136183092,0.1304832928577278,8.601480934492615,0.001603742823935976,0.49782328211719107,8.956550612282399e-07
Hmin,-1,7,0.8394570207692074,1.142245575570952,0.5312000459404341,0.21829772048753143,0.1423815919232578,8.022424529335298,0.0015750987388826396,0.49411675266748595,3.8780161304430294e-07
Hmin,-1,8,0.8187307530779818,1.1588662533573602,0.5385870995625627,0.2254530867239104,0.15187927382113256,7.630180367613233,0.001552669228658584,0.4904295665538189,1.2495220413910602e-07
Hmin,-1,9,0.7985162187593771,1.1725308543642996,0.5457585237281399,0.23295476524666875,0.15882761620840374,7.382411713752458,0.0015357621947581733,0.48671871300173447,5.728701069074305e-07
Hmin,-1,10,0.7788007830714049,1.18367065076645,0.5524721263103185,0.24009134361141576,0.1635955759470617,7.235346334484479,0.0015234115157480937,0.48294883605113964,7.266385271265108e-08
Hmin,-1,11,0.7595721232249685,1.1926819585277069,0.55851533380501,0.2464981315744824,0.16664923571419343,7.156840254420241,0.0015147356974043926,0.4790947482463648,3.011729310387068e-07
