iter,sigma1,sigma2,sigma3,sigma4,null_rotation_deg,target_error_pct
0,0.7871514689136516,0.4533235904327058,0.2445290781553991,0.18310227064588927,5.2659150503336886e-14,7.819356051541604e-07
1,0.7820626522413928,0.45175248075936864,0.24420277534038884,0.18269918051114098,5.005102088021116,6.281401843111212e-07
2,0.7821565149656878,0.45238274235869796,0.24345058570031908,0.18075183368504583,4.808216424724694,6.204542102317134e-07
3,0.7847480802492683,0.45446065472482433,0.244087795747764,0.18006469478956325,5.64897617507525,6.507179239889638e-08
4,0.7779854776094839,0.45206622992136364,0.24388548470225677,0.17980634420298366,4.470905287125702,1.9421504404704137e-07
5,0.7879228525757545,0.45691972866571134,0.2445320897178045,0.17861298974003273,4.783863521283928,1.8884227515059138e-08
6,0.7919994916957146,0.4593573650957287,0.24434110011094598,0.1777095462632025,3.8621577656362756,9.826042857152828e-06
7,0.79332448572423,0.46032258068253545,0.2443735193133522,0.17731497799493076,4.310008715619936,1.0129637773026445e-05
8,0.7995060131742527,0.46331817906986633,0.24485762627918298,0.1773527562281553,3.3825890701306682,2.786206065863439e-06
9,0.8050497634309665,0.46590032533952364,0.2454919308735322,0.1764712539106891,3.210743343369626,1.1340529293413226e-05
10,0.8048468824961518,0.4673251939854877,0.2457448135581521,0.17517856254871403,3.9499851304633866,1.7812487884683037e-05
11,0.8106744165043812,0.47102428064491336,0.2465264974616569,0.17453785345792425,4.8665292870670624,3.3590876746814047e-07
12,0.8152490846499865,0.4736439618800742,0.246942262712494,0.17447126383473582,2.6223628518961717,3.0829705233159643e-06
13,0.823607569168917,0.476806708134411,0.24690013375862804,0.17403241889714713,3.244548865805065,1.1833605384481416e-05
14,0.8190080776924205,0.4769074479741399,0.24681925647940492,0.1732971775418673,4.074389200874719,3.3289779821643606e-07
15,0.8235643766223788,0.4785140278641741,0.24698621034660295,0.1732251814164696,3.549480968998462,6.3944260553228105e-06
16,0.8244862815139908,0.479733214188262,0.24742368368770726,0.17297060289651056,3.3648219514977433,3.9539747476169396e-06
17,0.8197972067115016,0.47779130201589076,0.24779256446373069,0.17271699181230682,4.884174421133347,2.3023742912187117e-07
18,0.8244750950266351,0.4799387940285025,0.2484602848034841,0.17263341423600934,2.697829586206138,1.835523510962389e-06
19,0.829683694295105,0.4831521760640105,0.2484882620739666,0.17222355503521541,3.984370783723108,6.574517130708557e-06
20,0.8315777494805571,0.483016994391674,0.24805207147871527,0.17162893317478975,3.950150708253706,6.762383764069568e-06
21,0.8245244342854663,0.48113601185253896,0.24837173626337586,0.17140549302816488,3.056816861706299,4.101079031926247e-06
22,0.8230832442149375,0.48196850319760065,0.24863539337070542,0.17103749686930378,2.9247195321450867,2.964401613070322e-06
23,0.8249564272622758,0.48304888114258326,0.24870190254136054,0.1706813571432411,1.5192355370248243,6.1300499787364515e-06
24,0.8304172393210855,0.4868364995957312,0.2495775461518568,0.17060623756259705,5.211189004548913,1.7041033850695442e-05
25,0.8286576988753531,0.4869026228110356,0.24970425501271978,0.17052509084258,2.404148462799946,1.1112706754801138e-06
26,0.8294872341827239,0.48590643659487465,0.24927525333892162,0.16998774381081103,2.433023382698674,1.8045497096608187e-06
27,0.8244861732020468,0.48447419799355984,0.24918834204097598,0.16967554761669118,2.4275701313103673,2.591207404201157e-06
28,0.8205795387068391,0.4832170138446145,0.24953438882159873,0.16960808526343843,2.9314547486960603,8.183213062729067e-06
29,0.8216420578067966,0.4847243078340278,0.2501120008083127,0.1694883185584907,1.882694550276051,3.0895085156856794e-06
30,0.8257700984567447,0.4868710966216259,0.250600906684559,0.1692506557390677,1.6903518607277304,4.307772805134391e-07
31,0.8283864581175401,0.48745120759651106,0.25037490551082453,0.1690229677705918,1.1257498574317735,1.4283453086960662e-06
32,0.8292569236444404,0.48855215439362726,0.25068032387818867,0.16872471275170162,2.5764061028397873,6.665177720854842e-06
33,0.8279707346344641,0.48766406697143344,0.2508203183151418,0.16855342198537968,2.2420363586412826,6.395108442802666e-07
34,0.8294789275602602,0.4876633404076223,0.2503797923047094,0.1681325124340332,1.887102864823348,3.64320718038158e-06
35,0.8285859471666435,0.48652155521485135,0.2504896080365663,0.16803032765757453,1.8996569124420584,2.623365524812016e-07
36,0.8326581306644496,0.4878204498391723,0.25046951196523587,0.16790603575604293,2.4526941251731746,2.2252249376464306e-06
37,0.8331243387599997,0.48760793270753405,0.2502540751665323,0.16772093018272927,2.552649438759699,3.502794987397806e-06
