Hmax_scale,sigma1,sigma2,sigma3,sigma4,condition,wmin,wmax,target_error_pct
0.995,0.9579660722097904,0.4739012770188326,0.20121466513566408,0.08421791260251542,11.374849394939503,0.0017965339616484663,0.5221080551295391,4.983528478774701e-07
0.99,0.9508473783112279,0.4722028164836722,0.19980179514329927,0.082715347366362,11.495416613554726,0.0017962220095305299,0.5226857051586169,5.374622968901122e-07
0.985,0.9430608241286815,0.47049780757048765,0.19858213714407244,0.08129075725598715,11.601083025453352,0.001795898434653557,0.5232479943643042,5.886090836959568e-07
0.98,0.9347789911155471,0.4686102429682078,0.19748897734403664,0.08000843367545592,11.683505702753283,0.0017955656938054977,0.5238078694342673,2.386222996975107e-07
0.975,0.9259378844705705,0.46649993345988644,0.19662537035657507,0.07882896793784999,11.746162720290776,0.00179523904163981,0.5243592329027181,7.45732808837829e-08
0.97,0.9164654149462589,0.46417880302477416,0.1958742576398889,0.07789483403230484,11.765419701211238,0.0017949339256385021,0.5248917972961066,2.6258261121014925e-07
0.965,0.9060525303487132,0.46170689919148933,0.19522385880114226,0.07733636589874707,11.715737089779548,0.0017946647153752426,0.5254123081878913,4.3122700965625427e-07
0.96,0.8950370394923624,0.45905249282596433,0.1947659146032914,0.07740363409709128,11.563243120725732,0.0017944104385175335,0.5259175340988615,2.7576643191196126e-07
0.955,0.8836103755396952,0.45628917758911774,0.19450736374503544,0.07848634647861635,11.258141258753016,0.001794121443948452,0.5264024714828375,7.614883834605735e-07
0.95,0.87191924014485,0.4538425139847579,0.19463441147643357,0.08088493447796487,10.779748364417395,0.0017936966310125274,0.5268610287816129,7.992536632528413e-07
0.945,0.8605368307593344,0.4521838292601881,0.19521681359182533,0.08480641120171328,10.14707282816785,0.0017929730143953107,0.5272903871967485,3.329769016069406e-07
0.94,0.8504273771465599,0.4516914824119926,0.1966466055263019,0.08981498686059597,9.468657813940663,0.0017917767129454045,0.52769536612453,3.0557640862127755e-07
0.9349999999999999,0.842020229637501,0.4527582419673831,0.19890206499496293,0.09502083344306077,8.861427532542786,0.0017900051041299114,0.5280820801260724,9.930342215191956e-07
0.9299999999999999,0.8358723964019744,0.4554031302411157,0.2016931804604168,0.09945525551057861,8.404507053054289,0.0017876360863065426,0.5284485170635319,2.1763471025337822e-07
0.9249999999999999,0.8318059305835344,0.459363013875995,0.20471445726483797,0.10245066884222652,8.119087361591665,0.0017847126782106976,0.5288115486104775,6.331178248331071e-07
0.9199999999999999,0.8301815799429877,0.4642310102472792,0.2075214184980971,0.10380843207821978,7.997246113084964,0.0017813079586750749,0.5291744819157309,3.9988679034763663e-08
0.9149999999999999,0.8307692359660961,0.4695304607278457,0.20965332192691946,0.10356005459990182,8.022101177676317,0.001777496670280423,0.5295408525193426,4.6110013585121123e-07
0.9099999999999999,0.8335806896476957,0.47476723729284526,0.21097380711534347,0.10184035197342263,8.185170941526557,0.0017733486397733277,0.5299160717374379,5.726133345262951e-07
0.9049999999999999,0.8385111867316067,0.4797502540020423,0.2113421286685084,0.09877926778034636,8.488736610157797,0.0017689322643661663,0.5303029887227225,5.866679586574719e-07
0.8999999999999999,0.8453051505688163,0.4839706941844723,0.21092849961414448,0.09445475598950671,8.949312734053581,0.0017643192958262533,0.5307069964821413,3.876965415372524e-08
0.8949999999999999,0.8537746441452606,0.4874275489792875,0.20976017506674693,0.08892669434420408,9.600881382598098,0.001759602499931399,0.5311324769014588,2.0309207648949723e-07
0.8899999999999999,0.8635731445540424,0.4899197521976875,0.208053347970839,0.08223670720216071,10.501066663955056,0.0017549128956910157,0.5315859460491633,2.081902095163457e-07
0.8849999999999999,0.8738131749390412,0.49145703655958134,0.20601068807747916,0.07443806502987521,11.738794857017606,0.001750452813703836,0.532075483568328,7.273359692305803e-08
0.8799999999999999,0.8841544181028496,0.4918875965956945,0.20381397513823246,0.06558794754193722,13.480440404656926,0.001746545581167134,0.5326141095885735,8.39240676953068e-07
0.8749999999999999,0.8929367210459326,0.4911294967166213,0.20162396916666997,0.05571744382970632,16.02616092323055,0.0017437063459731165,0.5332216058056239,4.411395693182385e-07
0.8699999999999999,0.8989218156826182,0.4887549724582767,0.1996121496279842,0.04463350743428718,20.140066675380123,0.001742736373131968,0.5339374478744194,4.6692274491277885e-07
0.8649999999999999,0.9001332461859204,0.48382383963611214,0.1979673519523402,0.03120417533543387,28.84656417001269,0.0017447997464954698,0.5348751443347561,7.215836261842412e-07
0.8599999999999999,0.8951075717140156,0.475223270106839,0.1968415545559604,0.012828172363274626,69.77670289780258,0.0017493030429240875,0.5368755899268792,1.0326361987722521e-08
0.8579999999999999,0.9086106271890858,0.47684664147492173,0.19842222450512778,0.049768198186051514,18.256851971863053,0.001639249451172756,0.5414249384972487,3.6245184631411576e-08
0.8559999999999999,0.9023830561052637,0.475674550525474,0.1988659278789298,0.022894904580741487,39.41414356731242,0.0016953073956936446,0.5414087495711156,4.200613412663756e-07
