phase,iter,sigma1,sigma2,sigma3,sigma4,condition,null_rotation_deg,target_error_pct,width_min,width_max
0,0,0.7872543615056361,0.45329251440528323,0.24451845587315998,0.18310276212121576,4.299522040986287,6.812062900640597e-14,7.819356051541604e-07,0.004199770745857872,0.21282736540524153
0,1,0.7842796792932362,0.4515053596664929,0.2437089334528941,0.18208805385972845,4.307145156800929,7.08892107459556,3.05681702172933e-07,0.004206589835856282,0.21202928419815953
0,2,0.771372393489017,0.44623245247000204,0.2422326514213284,0.18006168498035263,4.283934106099168,9.007976150585817,9.483320795311556e-08,0.004156651695694142,0.21402692596763495
0,3,0.7838007516239253,0.4522584948875445,0.24348331340896426,0.17921186492196392,4.37359854474604,7.020132480233523,3.8124166046316077e-07,0.004231169722346139,0.2203367089547315
0,4,0.780409569566675,0.45288543157160344,0.24470584055717937,0.17780790668739335,4.389059992358631,6.245529607140347,3.292147776612353e-07,0.004275232037399393,0.22446327520830592
0,5,0.7797855938632264,0.45209979905280534,0.2442401902471831,0.17709413883674768,4.403226436432565,5.64196608633922,3.5246128238242136e-07,0.004285936043312557,0.22700808654079938
0,6,0.781508205751941,0.4553932249820226,0.2461019618887609,0.17614503251339028,4.436731451354054,6.735411546655966,1.2044913066944218e-06,0.004355903469842232,0.23130835992023674
0,7,0.7867858118482914,0.4591750533984554,0.2461276778066262,0.17468401939249595,4.504051455791554,5.921470647195762,4.6309338586070226e-07,0.00443440852234623,0.22832849543536174
0,8,0.8000526643994416,0.46474381893023975,0.2465513506109354,0.17440938744728157,4.5872110217764055,6.427345636370925,3.6244471868229766e-07,0.004444877214710263,0.2284231525900519
0,9,0.8000047122181201,0.4631984922175614,0.24610424061163513,0.17416494323076004,4.593373944136123,6.339079824832767,6.856854195547157e-07,0.00439978720527489,0.2310056889778418
0,10,0.7907715972095638,0.4617195516876095,0.24677974359519686,0.17376977087767942,4.550685618191937,5.330843117430614,7.80500220010083e-07,0.00440608151810235,0.2281756822344611
0,11,0.8017480470520696,0.4704276051056944,0.24856254740775585,0.17334061801950423,4.625275115621529,10.710605402204918,1.1557186652133566e-06,0.00448258799847625,0.23185546222246642
0,12,0.7991401350748983,0.4676770923215467,0.24718159450675625,0.17311756269935252,4.616170206039339,5.450779772301662,2.8373319249652695e-07,0.004506275900695693,0.2282513103658661
0,13,0.7886174261451302,0.462331197949351,0.24610017656598665,0.17170303831184397,4.592914801617298,6.38266357885259,4.6825083810375645e-07,0.004438862709025911,0.227901670275081
0,14,0.7847479560883222,0.4608951813102127,0.24683593678265828,0.1720896679298146,4.560110816230846,9.315992136976636,3.9125924722327454e-07,0.004423172446565859,0.2269119972200375
0,15,0.7931315795623132,0.4678092683989212,0.24950711253857052,0.1721708729177947,4.6066536465840215,6.364528850909113,5.758888921292282e-07,0.004427582262966441,0.23021964103770653
0,16,0.785984935618011,0.4626604926703359,0.24742244268517416,0.17152917353204666,4.582223066976802,3.764405482806404,4.825877919500954e-07,0.004383845734787757,0.2251444045267796
0,17,0.7859010207148436,0.45737399920433264,0.24348130256950337,0.16853848621878023,4.663035953074027,6.798831717170581,2.2302533153606419e-07,0.00433078701980208,0.22388539013272826
0,18,0.781486944237015,0.45748962626799744,0.24306845499328317,0.16760361036754293,4.662709487720874,8.833343765834364,4.0131165057744056e-08,0.0043878012878564975,0.2211566850187407
0,19,0.7724440611690953,0.45121858029062367,0.23992889836603717,0.16709900514562945,4.622673010505945,9.847316281559543,2.0875263739839056e-07,0.004315608377852068,0.21647915521305736
0,20,0.7748648346745698,0.45122790447291916,0.2394161740414083,0.16410544525338783,4.721749686478324,7.873998889483099,6.880410685639049e-08,0.004319584137348042,0.21504220218849668
0,21,0.7765709339293955,0.44989436477246186,0.2397391396893247,0.1637955905799978,4.741097920765566,7.675311685212511,2.1072428246782238e-07,0.0042612165401959305,0.21696131071336097
0,22,0.7703054176998456,0.4445170809488041,0.2371515030939792,0.1621677615527317,4.750052725179704,7.506857981211759,1.6413042036589331e-07,0.004192063130575977,0.2199374844671015
0,23,0.7733573223116508,0.43886673146107746,0.23506502229376436,0.15842904349914155,4.881411294488067,8.732981697164337,5.033378158714186e-08,0.004127038005074102,0.22221668062853808
1,0,0.7760561740460035,0.435842364026047,0.23447212188869918,0.15434842004947796,5.027950229728498,6.070253990957839,9.299240710802792e-07,0.004041847826512301,0.22132351221647345
1,1,0.7830494527732041,0.4368710120474706,0.23383757081431317,0.15229614863503252,5.141623473681725,10.786917243576061,2.0407985301673648e-07,0.004011220613677575,0.21957929052776023
1,2,0.7945673884455424,0.4410093574283149,0.2322100431038366,0.14768437497245931,5.380172334369943,8.554697275252106,1.2874051824596222e-07,0.003949356011595035,0.23109374197750168
1,3,0.8265838097209877,0.45711149242496263,0.23512697377704136,0.14371457265466972,5.751565721224232,15.652229639810926,4.1883018164767805e-07,0.0038989025479452617,0.22345984149421994
1,4,0.8118084010320509,0.4557312531768015,0.23576163351408658,0.1429480799464895,5.679043757257456,13.844392384927744,7.737321450207446e-07,0.0038372620143329694,0.22373539105423149
1,5,0.8267938380325828,0.45635876533491904,0.23338786067872772,0.14303471538170118,5.780371819709698,15.382951049334967,4.315900525853067e-07,0.003910280248038791,0.23113836406286525
1,6,0.8151501830222776,0.45385305287476174,0.23338475507159645,0.14338933996523615,5.6848729704726,9.056461708565399,1.4342349530238607e-07,0.0038954426709336978,0.22558264833841396
1,7,0.8109137266385978,0.46033772618307117,0.2345066985727715,0.14174872393918145,5.720783257184929,12.596975951653578,3.129921433142613e-07,0.003954362624849839,0.22019272372045234
1,8,0.8219219647935688,0.4635323543711147,0.2353728358171582,0.14180804260703295,5.796017980949169,6.103402514877488,1.3458301140190088e-08,0.003932815198951976,0.21737530249729703
1,9,0.8266605290712621,0.4630160388068624,0.23587283809743032,0.14183967599244005,5.828133230615406,5.703071006648992,7.643511490407207e-07,0.003906534680649205,0.21768956178957885
1,10,0.8264309529330014,0.4634198766210784,0.23524362497368317,0.14204913532407634,5.81792315065875,5.799817918746358,4.089500738047036e-07,0.0039055184195434605,0.2205782576632787
1,11,0.8200819279233834,0.45974419589798543,0.23430638111757,0.14236713263448328,5.76033184589649,6.431581778460954,5.282329795797125e-07,0.003937425639484102,0.21458184318576895
1,12,0.8121668062484133,0.4561689977459682,0.23393876782326434,0.14195987708543165,5.721101080974099,10.318269928041966,3.2422958762268195e-07,0.003926184577995385,0.217147611412179
1,13,0.8293552707408604,0.4646136221508581,0.2353662350261546,0.14232495335801693,5.827195099475114,7.127194353879348,1.9200238066119368e-07,0.003936076064529383,0.22792616289339218
1,14,0.8186211470871703,0.45378047617459344,0.2323613925990089,0.14238738083126096,5.749253496398629,7.4971490555022395,4.916650864217331e-07,0.003954970356698752,0.2337399181099542
1,15,0.8176262461285084,0.4544540187337847,0.23327264125577793,0.14264231254260895,5.732003579823299,7.1241429186652425,3.1980744719106724e-07,0.003887127325605662,0.23848280297071428
1,16,0.8216181360619698,0.4636794197039966,0.23474012622228344,0.14163334301250455,5.801021981027664,11.208182302807137,2.967576628876145e-07,0.0039097511355740975,0.23963106778867835
1,17,0.8351642834607944,0.4711661908357093,0.2364482347738934,0.1417757315381689,5.8907421912046445,4.418287615146783,6.308520372755311e-08,0.0038849465241910628,0.23544065162761924
1,18,0.8338942939300278,0.47242275650905846,0.2352934000307617,0.14198726480749196,5.873021746426566,7.94247604144454,1.1550965739459684e-06,0.0038897128214700366,0.2327237932273923
1,19,0.8202618801719141,0.4695258329562603,0.2356502082275618,0.14217602475670157,5.769340376308773,10.794325455060132,8.195252476639325e-07,0.0038534028896247303,0.23389168269716826
1,20,0.8400133875987053,0.4753726622380811,0.23677225099382437,0.14204999606117158,5.9135051805067755,9.719408360935743,1.4809524717662725e-07,0.0038684841663416927,0.23097448311670107
1,21,0.8546440267441003,0.4777698209376346,0.23566568011980715,0.14246539174196077,5.998958879024227,14.224408300421208,6.455994405740739e-07,0.0038732777219987777,0.24682668841689884
1,22,0.8603796523869683,0.4799852980820786,0.23593430388040992,0.14259625164285317,6.033676499028016,4.52148384999654,1.0626065582997057e-06,0.003866052317060914,0.2488972298416501
1,23,0.8474566439743895,0.4675998117959523,0.2346406623770791,0.14205370088615865,5.965748436596793,12.182150740720552,5.68899594100003e-08,0.0038258593639008587,0.2529579005569001
2,0,0.8216181360619698,0.4636794197039966,0.23474012622228344,0.14163334301250455,5.801021981027664,11.20590627518729,2.967576628876145e-07,0.0039097511355740975,0.23963106778867835
2,1,0.8158820094614477,0.458182846062367,0.23427920595306714,0.14204591248370907,5.743790829285703,7.036806770793432,1.7278658503983024e-07,0.0038882945541053146,0.2406759307977405
2,2,0.8341163866810716,0.4653602048106008,0.23555326353859418,0.14214151466365765,5.868210906959866,6.350396558795506,4.510600448703883e-07,0.0038552324156846045,0.23821389572045848
2,3,0.8574041965856615,0.47452799164557524,0.2365073442370898,0.14213324482939033,6.032397259450784,13.301470615378026,2.1386649118326773e-07,0.0038982640291187016,0.22737664401370788
2,4,0.8633892544581996,0.47640671013469343,0.23762129171634622,0.1421202440113727,6.075061723009073,9.134160169869173,2.983701730130406e-07,0.003868398826947437,0.22952274262241312
2,5,0.8686503324853381,0.47709375526064085,0.2365654132828665,0.14218380281571036,6.109348007882639,5.859526546735812,2.673988142021244e-07,0.0038670710814489584,0.23142077114779086
2,6,0.8492311815959007,0.4652800048797222,0.23574965098752573,0.14234913882472586,5.965832941508392,8.88535541652643,5.608415509783526e-07,0.0038727205908059116,0.23654652012393368
2,7,0.8533926959551321,0.46660722741980737,0.23603306686574105,0.1424378562786886,5.991333471667923,4.663636876372185,4.039882761652791e-06,0.0038639953085220185,0.24001107391942106
2,8,0.8548452732026499,0.4671535070501515,0.23546387513637496,0.14228734190740058,6.007879982458145,8.389838433509375,8.301028087132067e-07,0.0038834562596647597,0.24723627982867802
2,9,0.8561078876222321,0.46895566783496134,0.23618207233799032,0.14218718755109197,6.0209917810956615,8.56824773904347,1.8324852746332e-07,0.0038762232532382618,0.24840255863672478
2,10,0.8621636519961849,0.46700044458405404,0.23465229612112606,0.14242980877122532,6.0532528930163485,14.388766469857568,3.4845863972066127e-07,0.0037938322952167152,0.23484305893202
2,11,0.8266663423961601,0.4626954464900883,0.2351352399366815,0.14252957721231774,5.799963478210035,18.030562914654027,6.195803425868007e-07,0.0039014885129957494,0.24851920612852935
2,12,0.8181601294143065,0.46306422020168275,0.23610588761351808,0.1428198194792647,5.728617585412164,11.67386689068463,5.4738058530290346e-08,0.0038591312823390953,0.26071858154165145
2,13,0.8171035230774542,0.46190252265394455,0.23493357178054736,0.14306266892427372,5.711507615658739,14.335985446969149,5.4518856096308355e-08,0.0038341110386209214,0.27943016436643053
