element,width_m
1,0.11065434883625634
2,0.5358409601625225
3,0.20824074177576485
4,0.1964135331317423
5,0.1899927370317513
6,0.3160528427528132
7,0.28845614476740555
8,0.2360495404167158
9,0.21999764825568854
10,0.06958950277787787
11,0.017434654127339435
12,0.011460451983858566
13,0.009594443260667957
14,0.007795077882033852
15,0.00426061874176933
16,0.0059318421537044525
17,0.00707614039115012
18,0.00686137534606203
19,0.00507903783676308
20,0.0017482195504494205
