iter,sigma1,sigma2,sigma3,sigma4,condition,wmin,wmax,target_error_pct
0,0.9646095492249687,0.47547242518792177,0.2029637067892223,0.08581785188694863,11.24019685899023,0.0017968284147938853,0.521530194123689,8.594825628982505e-07
1,0.9702763793838297,0.4738412442378842,0.201654940418527,0.08751824905245797,11.086560687500171,0.0018517071014187397,0.4632372923627008,2.1312879461277134e-06
2,0.9923208570817954,0.4773649033105738,0.20997669651207904,0.08951522764374649,11.085497777328378,0.001866343642144573,0.46344152180872367,1.407789640417434e-06
3,0.9768290828640561,0.4713679193876309,0.2066699944554985,0.08981655618171622,10.875824284419707,0.0019409963487915752,0.4208369795883266,1.4158030303690339e-08
4,1.0051156799044068,0.47870480399337356,0.2004972749758219,0.08877284101847181,11.322333141227988,0.0017375709129202764,0.4277611693315236,2.4649615681937576e-06
5,1.007231125753651,0.4770823804869719,0.20201506813436695,0.08906130273316532,11.30941379525286,0.0017304140853038118,0.4497781757585323,6.236471672416144e-07
6,0.9778629227666891,0.46770160555484724,0.19560008283607339,0.0908790333291843,10.760049782050933,0.0017354791876587736,0.4955222107034133,1.0674173656077812e-06
7,0.9485574986006945,0.4625987504784512,0.19961829887900395,0.08674229368700241,10.93535181376957,0.0017350969910284145,0.5004934890777418,6.387557371922981e-07
8,0.9555103367827387,0.4631864412451328,0.20531905877833892,0.08906999905967848,10.727633848323382,0.0018011361654046599,0.5453108097390957,5.631527799643266e-07
9,0.9406025856557085,0.4625970260486092,0.19750881816891025,0.08803950414761574,10.68386964195756,0.0017209208619102646,0.5619267584607215,5.241430067748354e-06
10,0.9612065717540701,0.4676430035901886,0.2049274216172173,0.08797896453542829,10.9254135557256,0.0017711572625685092,0.5467505324478389,1.3046990154919058e-07
11,0.9873271373788922,0.4734614163914725,0.2058518755088099,0.08935962311435483,11.048917877768968,0.0017674450065980178,0.5485389314118297,2.9951916502568565e-07
12,0.9873271373788922,0.4734614163914725,0.2058518755088099,0.08935962311435483,11.048917877768968,0.0017674450065980178,0.5485389314118297,2.9951916502568565e-07
13,0.9935370758930395,0.4785056321376256,0.1956161884318385,0.09170634485648181,10.833896797957664,0.0016777833597353968,0.5642240815146842,4.287271637704038e-06
14,0.9476018678044419,0.46193152749559063,0.1933107807136171,0.0913642600876949,10.371690931387148,0.0017129085193573158,0.6456771086422644,7.795615930561439e-07
15,0.9393028239492327,0.46192432106832476,0.19588883278849978,0.08861184917755498,10.600194360769015,0.0017473827987882341,0.6278328377294984,9.887274554643e-07
16,0.9010814148944217,0.4503313655910538,0.1979436351917426,0.09474835647763749,9.51025905243111,0.001749937284977729,0.6464546225900667,2.690462386212289e-06
17,0.8897334175007547,0.44572379820687164,0.19874914649624623,0.09550765488498505,9.31583356928002,0.0018308324830433693,0.6326917903392018,3.3555669354257134e-08
18,0.906345176491915,0.457658976696007,0.19720988816601948,0.09331250636286034,9.713008596805334,0.0017804616730805866,0.6438366806996945,1.659501414064124e-06
19,0.9329201167177964,0.4671963968015762,0.20021415412679927,0.08900451473310649,10.481716792853696,0.0019110559915241283,0.6481790158293872,1.3243746432856085e-06
20,0.918192491055187,0.45736512091384046,0.19379049046133806,0.09008291305291492,10.192748657182506,0.0017764109305178064,0.6676712416484964,5.744373865468333e-08
21,0.9247761764908029,0.4606949472790846,0.2008538699766965,0.08942581376954425,10.341266548314643,0.0017972550167073568,0.694578578619482,1.6013164128025892e-07
22,0.9167233720362388,0.45543880838626816,0.19878012962228198,0.08847305860074964,10.361610489506365,0.0018867306432603069,0.7002928473246954,1.599519405814931e-07
23,0.9182349012558837,0.4607785272000862,0.19609497578618904,0.09320066673517743,9.852235326437931,0.0019341892254271943,0.6733036266785699,4.416149124164548e-06
24,0.9369222504537218,0.4665222601799458,0.20117167100447853,0.09628844118610906,9.730370944969517,0.0019116189338714126,0.6631678331418507,1.234347490886023e-06
25,0.9463732181787073,0.47495564984248206,0.2072832752630975,0.10001112736757119,9.462679234686547,0.001990569771882549,0.6625025179994176,2.5811936144037873e-06
26,0.9718960721426979,0.48149504956103123,0.19813893647806685,0.09609986999676252,10.113396325878899,0.0019257638707856645,0.7204049127371984,3.1773047526328924e-07
27,0.9036208479627597,0.4583512174611449,0.19594216629089686,0.09769704447383021,9.249213759018161,0.0018590660978618444,0.6528214008969635,5.411237680164049e-07
28,0.9036208479627597,0.4583512174611449,0.19594216629089686,0.09769704447383021,9.249213759018161,0.0018590660978618444,0.6528214008969635,5.411237680164049e-07
29,0.9498723681482583,0.47592011635189163,0.20552410230885307,0.09282446684026742,10.232995679714499,0.0018263777991394357,0.712592249752432,2.785411568062557e-06
30,0.9498723681482583,0.47592011635189163,0.20552410230885307,0.09282446684026742,10.232995679714499,0.0018263777991394357,0.712592249752432,2.785411568062557e-06
31,0.9637651210386031,0.47832412993368617,0.20450759112426148,0.09520022279334978,10.123559512362055,0.0016431238291015544,0.6792587571487342,1.1212388351111713e-06
