element,width_m
1,0.11067926734159687
2,0.5414685080557147
3,0.21064469960035537
4,0.20063835656539308
5,0.19659084064327625
6,0.3445502011000475
7,0.32232673506997594
8,0.26651034464737755
9,0.2547504201591152
10,0.07361814010650564
11,0.010124873475769935
12,0.010261293613178717
13,0.009778506203247342
14,0.008094982941623448
15,0.004258179351171977
16,0.005850466069519946
17,0.0072144968511805106
18,0.006974743816572918
19,0.0050222428256249015
20,0.0017019204277530743
