phase,iter,sigma1,sigma2,sigma3,sigma4,condition,wmin,wmax,target_error_pct
0,0,0.7872700087642713,0.4533049548785946,0.24451581445530882,0.183104338683234,4.299570476733646,0.004199770745857872,0.21282736540524153,7.819356051541604e-07
0,1,0.7862607410713623,0.4542717720193375,0.24562923367213596,0.18224508829744468,4.314304151715165,0.004241908087706112,0.21348379956642952,8.833102027594464e-08
0,2,0.7874691354155656,0.4567370280348377,0.24479578531451712,0.1789272257404476,4.4010582076417535,0.004339909909089455,0.21517547732835518,3.1349299822736043e-07
0,3,0.7890012427768373,0.45993254613426443,0.24522511892830154,0.17614184750661172,4.479351465569367,0.004438699739336594,0.21401459309456144,1.3579188884449422e-07
0,4,0.7703224441713286,0.4496171601542803,0.24232093057830534,0.17426377479762778,4.420439331501356,0.004276534271096047,0.21923899579895795,9.546221590994719e-08
0,5,0.7606178346737644,0.44418878310176974,0.24139594269555353,0.17190057107984236,4.424754553726768,0.004206707757407967,0.22296684129978023,6.014024833689291e-07
0,6,0.7603302716698351,0.44343781707261076,0.24065988326038754,0.16736151307206037,4.543041334374539,0.00419167611333806,0.225266619458601,4.125387476072717e-07
0,7,0.7597579765034534,0.44221810314814003,0.2391786135683447,0.16534481622772054,4.594991205875361,0.004085233490238281,0.2281985074929133,2.675980881328144e-07
0,8,0.7576178598671283,0.44083336537234413,0.23940402338496955,0.1647646867728214,4.598181046596086,0.0039964877582388016,0.22976213089287909,2.805394472282785e-07
0,9,0.7640990697208739,0.444627807099299,0.2386495231378509,0.16070385981901703,4.7547026597954405,0.004112816006016771,0.23038530756833164,2.8713410538117046e-07
0,10,0.7660518426835691,0.44264342999187106,0.2359741478922778,0.15189783025064763,5.043204642354021,0.00406678470997852,0.23434357699249111,3.7952296860765955e-08
0,11,0.7699011104161142,0.44188817390227536,0.23599290368411097,0.14805832121197945,5.199985411923077,0.003937118006234169,0.23089580194471815,1.5018928323229375e-07
0,12,0.7725464057237722,0.44741046769622017,0.23738336857931372,0.14396359007008422,5.366262437243208,0.003922361755164053,0.2300064354308855,9.765646069581635e-07
0,13,0.7803564451583798,0.45639075174281624,0.23913759871975396,0.14425753828443583,5.409467362597949,0.003862253963137058,0.23020303553482152,7.553511816027481e-07
0,14,0.7685202102141515,0.4466478906355551,0.23530255265018604,0.14332259458277077,5.362170650422606,0.003899577482166295,0.24854493301526825,4.836242073480435e-07
0,15,0.7773928572180125,0.45278385075105443,0.23612377942980833,0.14230546959564333,5.462845942794404,0.0038615979089184904,0.25223031735775925,4.567275335709553e-07
0,16,0.7826564000912755,0.4511917640748408,0.23454328463315477,0.14288384027002937,5.477571141790214,0.003911240959561454,0.23935083371091584,8.280822916262309e-07
0,17,0.7939674080854506,0.4567765945403951,0.23632727925933975,0.14159343042829226,5.607374619598208,0.003880317759976725,0.23567132259284349,6.220203796480916e-07
0,18,0.7951553926722642,0.45658412957758576,0.23698459620266826,0.14205383775008912,5.597563608743583,0.003909698114045686,0.2314208988051883,6.735925150991307e-07
0,19,0.804087324865477,0.4645226472076179,0.23854718729986238,0.1421074143404373,5.658306630920595,0.003898109766145212,0.2326208108559736,8.245799598682879e-08
0,20,0.7903035140372473,0.4540265568794807,0.23675145234869335,0.14165662289135994,5.579008576558762,0.0038987000304785834,0.2397807769520248,6.890055637143178e-07
0,21,0.7833385835211798,0.454319776617685,0.23798315093211203,0.14200698575794718,5.516197526059676,0.0038984252102157793,0.2335054864778562,3.929845671102328e-07
0,22,0.7787986919286397,0.45646108782509115,0.23657798796450177,0.14248993707503277,5.4656399456372675,0.0039431746275573045,0.23323762809297485,5.009992198878876e-07
0,23,0.7873158962347122,0.4580927782836758,0.23676549005474323,0.14256759860690701,5.522404136198791,0.003966527085127779,0.23946212362955124,5.881076181601941e-07
0,24,0.7905366494840553,0.4604749615482766,0.23857760458524604,0.1424526478327762,5.549469676492492,0.003955128343467853,0.23787860941059458,3.102914813979396e-07
0,25,0.7776329959685724,0.4495754048675797,0.23692036793594307,0.14321249568594327,5.429924199309232,0.003959909257037972,0.23820362493184644,1.1816236877848496e-07
0,26,0.7919754111319245,0.4613449569759328,0.23972686855831005,0.14354391410254994,5.517303997758661,0.003935954985379173,0.23518230208802393,1.3491361361417376e-07
0,27,0.7747167353341926,0.44960771919720377,0.2379897916396248,0.14237299311263213,5.441458512579767,0.00392974578082347,0.23182045593283468,3.6601726094431797e-07
0,28,0.7801592506412524,0.45819632457261406,0.23991583759419216,0.14275485106570573,5.465027946981421,0.0039434188180574314,0.23479709426927914,5.245829770572641e-07
0,29,0.7738253484329456,0.4488954860749211,0.23781101115765388,0.14236302115638133,5.435578299388031,0.003951874865678094,0.24702226427581464,2.3617663380548493e-07
0,30,0.783503590533089,0.4558771319926806,0.2399551473671305,0.14282421248299668,5.485789677477589,0.003877902260581227,0.25328882277924114,5.339533259984819e-08
0,31,0.7895933987187348,0.45931483215322105,0.2388178877888398,0.14283445597466657,5.528031687667707,0.00387228372628175,0.2554945754937803,3.716496443928463e-07
0,32,0.8094037712979392,0.46871409492920546,0.23936052396059312,0.14294411097920012,5.662379273642941,0.0038577416077428856,0.24341353702608023,8.301085485662441e-07
0,33,0.8159983085262236,0.4659266832029681,0.23881544530454055,0.14239562244020765,5.730501363332737,0.003882582470210534,0.2391301668373416,9.256921118527828e-07
0,34,0.835947063090839,0.4764762255974083,0.23922590814053188,0.14263117147362794,5.860900211742305,0.0038473849309219148,0.23091355596205732,2.809536603365359e-07
0,35,0.8186502323087983,0.46419808234926646,0.23565643764425379,0.1416697995661136,5.77857973129097,0.003875190773733844,0.23334815791365052,8.732056078208927e-07
0,36,0.8282508727136957,0.4692641452471,0.23818521121714825,0.1422393069890542,5.822939454966779,0.0038316717121997935,0.2390736871271362,6.399219154573643e-07
0,37,0.8287951205040803,0.47425388832776927,0.23738549772775,0.1429914215408085,5.796117778069291,0.00385240619355367,0.2535810798571323,5.811979342240647e-07
0,38,0.8335237332894857,0.47840062704313957,0.2388494769276204,0.14305952026415963,5.8264121936826205,0.0038738649073835245,0.2559765126644727,6.827719500890339e-08
0,39,0.8134189482662051,0.46658078984633167,0.23601245063128162,0.14230793641348133,5.715907129049952,0.0038878890017509725,0.2580593437296138,5.328760432909974e-07
0,40,0.8045554608345543,0.46123892870953676,0.23678449141913346,0.14195570318845335,5.667651547373665,0.0038466589475764264,0.2597987716251434,1.5141958797926236e-07
0,41,0.803623688121095,0.45322426780452096,0.23655384616596584,0.14247902197768791,5.640294809483895,0.0038520708357193496,0.2635927195805805,7.075023011893222e-07
0,42,0.7909374130436028,0.45428641395155617,0.23620152017578272,0.14199537679308105,5.570163134227779,0.003858594769236766,0.2667838724011506,1.0445255771429629e-07
0,43,0.8070392763721489,0.4642425541599956,0.23872497830753056,0.14257821563245276,5.660326669065535,0.003853471437751398,0.2651950543642111,5.818904469379049e-07
0,44,0.8009058818741884,0.4532899621770045,0.23435413617453552,0.14169423324472513,5.652353405878667,0.0039247422930682885,0.26562430267156817,1.1068843619455038e-07
0,45,0.7927068451063701,0.4551312037026243,0.23387313502158005,0.14180419164424565,5.590151009746529,0.003932321158520542,0.26588401020471025,4.425819266629105e-07
0,46,0.8060168032216027,0.46726108041937003,0.23786374457290718,0.14260104848074884,5.652250188962777,0.003891692238641037,0.2586865178919337,1.1039719693961558e-06
0,47,0.8166143779147345,0.4683463186819051,0.2379958120868051,0.14239466806751463,5.734866262882449,0.0038768734326286576,0.2682422386986035,3.9786614003389786e-07
0,48,0.803873854471919,0.4550021236086305,0.23526423652397155,0.14163640897055968,5.675615897879838,0.0038904667896708946,0.26981782583179575,7.349825192903836e-07
0,49,0.8046934919976865,0.460190719405288,0.23557759964959138,0.1425705641134302,5.644176951965108,0.003909820228301841,0.26831620094822267,7.464620033204028e-08
1,0,0.7939674080854506,0.4567765945403951,0.23632727925933975,0.14159343042829226,5.607374619598208,0.003880317759976725,0.23567132259284349,6.220203796480916e-07
1,1,0.8149020885044259,0.4579046468045974,0.2375711044484777,0.1434906296350783,5.679131038569306,0.003868038405918461,0.23888895271147667,4.055668689773029e-07
1,2,0.8344413624717473,0.4622547872886067,0.23785205926798708,0.14562238968364788,5.730172154738701,0.0037492154468342412,0.23263746095473312,3.5304243972689164e-07
1,3,0.8142499584520204,0.45070602299391077,0.23453931737032221,0.1446292998088431,5.629910118684227,0.0038390834126598226,0.2440384190400882,8.386518146608068e-08
1,4,0.7992498162783078,0.44421065140991484,0.23389256625527138,0.14453515752633622,5.529795172034001,0.003919550956026472,0.22693281078593489,1.3125136533176374e-07
1,5,0.8094432394123048,0.4583622055629556,0.23773898079493053,0.14422707582595046,5.612283510407714,0.0037896655966675017,0.2310619484683487,1.0433717334557002e-06
1,6,0.8348174076060374,0.4717273193117574,0.23873999933842227,0.14544763925327864,5.73964219627043,0.003757626764245143,0.23747483027279995,1.0669931604923022e-07
1,7,0.8142379570860483,0.4564781867612657,0.23529088073603457,0.14273424777529076,5.704573147489582,0.0038325577982816716,0.2559447975867733,1.2178346997515632e-06
1,8,0.7962208158238249,0.44700453775678134,0.2362881837235814,0.1424840816402897,5.588138735623366,0.0038686580232218325,0.2557341088977077,6.180997935700816e-08
1,9,0.8141327814126492,0.4603912753830273,0.23999413349000942,0.14336614848471851,5.678696052153679,0.003865836966612433,0.2627694100154153,3.47778161824408e-07
1,10,0.7683962935401891,0.44512751774412435,0.2381238882654082,0.14263048405119558,5.387321642015756,0.0038969960719038824,0.25316597669979496,1.203314781150766e-07
1,11,0.7670569637615383,0.4510005894489852,0.24041933482315028,0.14324870447387955,5.3547218215952945,0.003885510148397526,0.2524917162426306,3.4060954057224535e-07
1,12,0.7749753038204277,0.4529567533916443,0.23813242571742402,0.14295297546853705,5.421190438886628,0.003907314633709139,0.26446950892911814,1.3208329985303635e-07
1,13,0.7575495746632924,0.43809469176103466,0.2316997777827372,0.1465445092746244,5.169416298250005,0.003905995631875636,0.275458772279152,4.0371754828072426e-07
1,14,0.766438491245541,0.4463908359862787,0.23607011091640576,0.14330975960960982,5.348124882306665,0.0038940630937238647,0.2673838747315367,3.9138766672053293e-07
1,15,0.7717055914543016,0.44799764589285507,0.2348747180471628,0.14265606906069,5.40955317593951,0.003861496575954688,0.2911980194196189,2.7864268670185766e-07
1,16,0.7726465681797838,0.4517752591357497,0.23571597714229042,0.14320005573813382,5.3955744932997955,0.003770610476297751,0.2997723206945711,1.8791141975782466e-07
1,17,0.7714744239915141,0.445589606910638,0.23300977927798133,0.1436919348422277,5.368947288785451,0.003841200155676412,0.30091052515586425,4.457341717944985e-07
1,18,0.7653111160597202,0.44122963857998043,0.2333826605204149,0.1429789619737756,5.352613457916203,0.00384984151685558,0.2955187580271367,5.462617025386862e-08
1,19,0.788158853141786,0.45208293496922275,0.23692288126318287,0.1416172690299661,5.565414857527101,0.0038661670266991193,0.2796758449883345,7.984436223296143e-07
1,20,0.7964202764632556,0.4576886092663773,0.23602203400696245,0.14179074130148347,5.616870813658149,0.003929627924519323,0.2659408527343894,4.422597399411643e-07
1,21,0.8038887791883742,0.46258027648165156,0.2349011046536806,0.14316307615198431,5.61519632572684,0.003909353918315046,0.29311322795476713,1.9001250572969752e-07
1,22,0.8092005611424768,0.4602487927983528,0.2325060227894556,0.1415772772553359,5.715610420188237,0.003957111673281148,0.31206051949237107,4.5272461335343905e-07
1,23,0.7942477258430902,0.4478180140028509,0.22845264461641174,0.14239211536467697,5.577891190175536,0.00396476271860628,0.3095071863462517,5.881971465448999e-07
1,24,0.836861015701629,0.47400648445755417,0.23402923911785023,0.14320334041827124,5.843865186784807,0.00389213812173396,0.325307100373455,8.604015278024235e-08
1,25,0.8067175705966578,0.46216125446986184,0.23208851852327617,0.14173842039745513,5.691594193970164,0.003927383990092761,0.30759809942403377,9.18470555166806e-07
1,26,0.7941328108214815,0.4547489671178823,0.22938023032217997,0.14186233966393227,5.597911416819706,0.00396551303036265,0.3337335101315484,5.220521459570193e-07
1,27,0.8380538370999249,0.46722202806084734,0.2307941494110591,0.14138525615707628,5.9274485889028155,0.003927032054111221,0.33574177892393536,1.9870416423373172e-07
1,28,0.837824276936257,0.45855244720678034,0.22777657509677346,0.14166590785458016,5.914085397287556,0.0039007743449302992,0.3267234614990387,1.6193446583656623e-07
1,29,0.8595192733674275,0.4732088730239184,0.229513001184923,0.14219768316516138,6.044537816900317,0.003865578050106004,0.32048877440528134,5.201003294708073e-07
1,30,0.8319600168993982,0.4583125014781316,0.2258524998251303,0.14242864264924948,5.841240928962699,0.0038619483931722435,0.3135767760373908,7.32340110776164e-07
1,31,0.8182278938934041,0.4540274549146102,0.22587648961043405,0.14151848674279358,5.781773906193002,0.0039352121023287,0.3049296751154991,4.1164643915792e-07
1,32,0.8147607145143055,0.457185579033736,0.22808621165437776,0.14235686751954107,5.723367819978652,0.003888727082336712,0.3124333398991529,1.328724819060767e-06
