eps,raw_res_minus,sigma_minus,raw_res_plus,sigma_plus
0.02,0.0017245606008139199,0.0866005945975891,0.0017087606994021058,0.08503423898296913
0.05,0.004344104878274998,0.0878148695262117,0.004245423488291594,0.08387748724953803
0.1,0.00880869379700501,0.08978180801401928,0.008414760730269777,0.081996008730535
0.2,0.018181986436269094,0.09350096833013564,0.01661854683152815,0.0787043355502643
0.35,0.03363525633015056,0.09797688234584849,0.028945287348840828,0.07561011260503556
